stid,station_name,latitude,longitude,elevation,country,ncei91,nyear,DJF,MAM,JJA,SON
UESO,Chokurdah,70.624,147.898,26.0,RU,,1,0.0,0.04046297865130464,0.9958333333333332,0.04993466942160472
UOII,Igarka,67.46667,86.56667,31.0,RU,,1,0.0,0.1754951980792317,1.0,0.29754967538111543
USHH,Khanty-Mansiysk,61.01667,69.03333,23.0,RU,,11,0.006626979331528635,0.3987347127388848,1.0,0.3046403249051091
UOHH,Khatanga,71.97722,102.46639,33.0,RU,,2,0.0,0.07696185212326527,0.973025641025641,0.10954031629357389
USRK,Kogalym,62.1904,74.5338,68.0,RU,,1,0.0,0.21544211115065848,1.0,0.21899387665252
ULKK,Kotlas,61.23944,46.68944,56.0,RU,,1,0.012559326830463492,0.4567488580358216,0.974537037037037,0.352094648825618
UHMM,Magadan,59.91099,150.72044,118.0,RU,,12,0.0068061044751403345,0.20001347380793297,0.9989304610733182,0.3112142651004129
UERR,Mirnyj,62.53333,113.86667,347.0,RU,,4,0.0,0.15886843205811355,0.999056603773585,0.16950324164697528
ULMM,Murmansk,68.78333,32.75,51.0,RU,,10,0.051464214686308574,0.43838795751857557,0.9976072906140969,0.5441918370217823
USMM,Nadym,65.46667,72.66667,15.0,RU,,1,0.0,0.1263212550532211,1.0,0.22532435151826313
USNN,Nizhnevartovsk,60.95,76.48333,54.0,RU,,12,0.0017054035403013122,0.288725275677055,0.9925223324328055,0.26745802603750957
UOOO,Norilsk,69.31111,87.3322,175.0,RU,,6,0.0,0.033759403631130724,0.896789015233005,0.18336353969130165
USMU,Novy Urengoy,66.0694,76.5203,59.0,RU,,1,0.00113647855987055,0.08207022133312816,1.0,0.15632456128801528
ULPB,Petrozavodsk,61.81667,34.26667,46.0,RU,,4,0.11721333163940627,0.4584160080778357,1.0,0.6893360222777515
UHMP,Pevek,69.78328,170.59701,4.0,RU,,1,0.0,0.03013538748832867,0.6700542005420054,0.08119399154934588
UHMD,Provideniya Bay,64.37814,-173.24331,3.0,RU,,10,0.04946578882518841,0.22080097901420376,0.9980703392468098,0.596474016706335
USDD,Salekhard,66.5908,66.611,67.0,RU,,1,0.0003698224852071006,0.21346872309399054,1.0,0.2246523872836384
USRR,Surgut,61.25,73.5,44.0,RU,,11,0.0036146323906666904,0.36838736173909303,0.9857538076907466,0.2979507592452376
UUYY,Syktyvkar,61.64705,50.84505,119.0,RU,,9,0.061633370477050566,0.48987202961414805,0.9991645781119465,0.40993092790531827
UEST,Tiksi,71.58333,128.91667,7.0,RU,,1,0.0,0.26038275388255233,0.8901376059603907,0.10203783788250621
UUYH,Ukhta,63.57528,53.80583,149.0,RU,,1,0.00206502717141015,0.25258219543293503,0.9892857142857142,0.22329508219974753
UUYS,Usinsk,66.005,57.36833,80.0,RU,,1,0.1305496310400343,0.42868025368025364,0.9972027972027971,0.4792419011502587
UERP,Yakutia,66.40043,112.03033,509.0,RU,,4,0.0,0.06236375633486827,0.9618334761835079,0.14863290945374788
UEEE,Yakutsk,62.01667,129.71667,103.0,RU,,11,0.0,0.23940216089476327,1.0,0.13267762120190782
ESNX,Arvidsjaur,65.59028,19.28194,379.0,SE,,11,0.03762959692378616,0.30434516309929793,0.9987187700192184,0.4202613248554902
ESSD,Borlange,60.42917,15.50083,161.0,SE,,13,0.20423302727374598,0.5752246393537048,1.0,0.7889754967057034
ESNG,Gallivare,67.14222,20.64583,310.0,SE,,12,0.030576010388683968,0.2981805461274378,0.995278989619891,0.43005497231367185
ESUT,Hemavan,65.80611,15.08278,463.0,SE,,12,0.1382408800375086,0.38166882227286286,0.993852090593819,0.577136625898477
ESNQ,Kiruna,67.82278,20.34,452.0,SE,,13,0.012009398086418254,0.1944696501117529,0.986713006247271,0.3272937215898859
ESNK,Kramfors,63.0486,17.76886,19.0,SE,,11,0.22826338463460372,0.6389714566657372,1.0,0.7780209797097174
ESPA,Lulea,65.54444,22.12806,34.0,SE,,13,0.3057533094975934,0.6032819491140667,0.9994805194805194,0.7300512280793726
ESNL,Lycksele,64.55,18.71667,214.0,SE,,11,0.05044363193537923,0.3525372668212798,0.9996172981247609,0.5343446399979407
ESUD,Mohed,64.96089,17.69658,279.0,SE,,5,0.04893319907778292,0.4561421790814413,1.0,0.4550436680702801
ESKM,Mora,60.95791,14.51138,193.0,SE,,8,0.23435071486341985,0.4798073570363478,1.0,0.7455744099365379
ESNO,Ornskoldsvik,63.41167,18.97972,103.0,SE,,13,0.13519604501804455,0.4584955007787038,1.0,0.7623186081342441
ESNZ,Östersund,63.19556,14.50028,370.0,SE,,11,0.07085281867308113,0.32884061840504747,0.9993622448979592,0.6049302899051541
ESUP,Pajala,67.2456,23.0689,164.0,SE,,7,0.027124680938001546,0.35479361857627684,0.996228482805835,0.4111248974655314
ESNS,Skelleftea,64.62472,21.07694,49.0,SE,,13,0.08192376954203781,0.414856920516411,0.9997048406139315,0.6146558855238756
ESSA,Stockholm,59.62639,17.95083,61.0,SE,,13,0.283128594984765,0.6608073233887944,1.0,0.890331518925322
ESNN,Sundsvall,62.53167,17.43611,10.0,SE,,13,0.23439850523646047,0.5716123703696859,1.0,0.8235918904003345
ESND,Sveg,62.0478,14.4229,358.0,SE,,6,0.12097609974159813,0.4536889618408618,1.0,0.6538928478942986
ESST,Torsby,60.1576,12.9913,111.75326,SE,,7,0.3780692128766821,0.7000592398752045,1.0,0.8308087066567701
ESNU,Umea,63.79183,20.28276,14.0,SE,,13,0.145907599551647,0.4785001901804739,1.0,0.7855131495283378
ESCM,Uppsala,59.8973,17.5886,21.829485,SE,,4,0.4574708903578064,0.7229677692052351,1.0,0.9060576129978183
ESOW,Vasteras,59.58944,16.63361,31.0,SE,,13,0.303368268530541,0.726289177162598,1.0,0.9052206263229136
ESPE,Vidsel,65.86778,20.15417,182.0,SE,,10,0.07725202487572777,0.4526130856187317,0.999554367201426,0.5548335982205105
ESNV,Vilhelmina,64.5791,16.8336,353.0,SE,,7,0.04474663492703127,0.3470273624870123,0.9852777453425693,0.46383885710503364
